antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Eye shadow', 'Mascara', 'Blush', 'Nail Polish'})",frozenset({'Concealer'}),0.101,0.201,0.063,0.623762376,3.103295404,0.042699,2.123657895
"frozenset({'Eye shadow', 'Mascara', 'Lip Gloss'})",frozenset({'Concealer'}),0.131,0.131,0.053,0.404580153,3.088398112,0.035839,1.459474359
"frozenset({'Eye shadow', 'Concealer', 'Lip Gloss'})",frozenset({'Mascara'}),0.131,0.131,0.053,0.404580153,3.088398112,0.035839,1.459474359
frozenset({'Eyeliner'}),"frozenset({'Eye shadow', 'Concealer', 'Blush'})",0.204,0.1,0.063,0.308823529,3.088235294,0.0426,1.30212766
"frozenset({'Eye shadow', 'Nail Polish'})","frozenset({'Concealer', 'Blush', 'Mascara'})",0.1,0.204,0.063,0.63,3.088235294,0.0426,2.151351351
frozenset({'Bronzer'}),"frozenset({'Concealer', 'Nail Polish', 'Eyeliner'})",0.175,0.104,0.056,0.32,3.076923077,0.0378,1.317647059
frozenset({'Foundation'}),"frozenset({'Mascara', 'Eyeliner', 'Lip Gloss'})",0.104,0.175,0.056,0.538461538,3.076923077,0.0378,1.7875
"frozenset({'Concealer', 'Blush'})","frozenset({'Eye shadow', 'Eyeliner'})",0.204,0.182,0.114,0.558823529,3.070458953,0.076872,1.854133333
"frozenset({'Brushes', 'Concealer', 'Bronzer'})",frozenset({'Nail Polish'}),0.182,0.204,0.114,0.626373626,3.070458953,0.076872,2.130470588
"frozenset({'Eye shadow', 'Nail Polish', 'Eyeliner'})",frozenset({'Mascara'}),0.149,0.134,0.061,0.409395973,3.05519383,0.041034,1.466295455
"frozenset({'Concealer', 'Bronzer'})","frozenset({'Eyeliner', 'Lip Gloss'})",0.134,0.149,0.061,0.455223881,3.05519383,0.041034,1.562109589
"frozenset({'Concealer', 'Nail Polish', 'Lip liner'})",frozenset({'Eyeliner'}),0.175,0.101,0.054,0.308571429,3.055162659,0.036325,1.300206612
"frozenset({'Mascara', 'Blush', 'Nail Polish'})","frozenset({'Eye shadow', 'Concealer'})",0.101,0.175,0.054,0.534653465,3.055162659,0.036325,1.77287234
"frozenset({'Mascara', 'Blush', 'Lip Gloss'})",frozenset({'Foundation'}),0.192,0.101,0.059,0.307291667,3.042491749,0.039608,1.297804511
"frozenset({'Concealer', 'Blush', 'Nail Polish'})","frozenset({'Eye shadow', 'Mascara'})",0.101,0.192,0.059,0.584158416,3.042491749,0.039608,1.943047619
"frozenset({'Eye shadow', 'Concealer', 'Nail Polish'})",frozenset({'Bronzer'}),0.175,0.13,0.069,0.394285714,3.032967033,0.04625,1.436320755
"frozenset({'Mascara', 'Lipstick'})","frozenset({'Eye shadow', 'Concealer'})",0.13,0.175,0.069,0.530769231,3.032967033,0.04625,1.758196721
"frozenset({'Blush', 'Lip Gloss'})","frozenset({'Eye shadow', 'Concealer'})",0.204,0.081,0.05,0.245098039,3.025901719,0.033476,1.217376623
"frozenset({'Concealer', 'Foundation'})","frozenset({'Blush', 'Lip Gloss'})",0.204,0.081,0.05,0.245098039,3.025901719,0.033476,1.217376623
frozenset({'Eye shadow'}),"frozenset({'Brushes', 'Concealer', 'Mascara', 'Nail Polish'})",0.081,0.204,0.05,0.617283951,3.025901719,0.033476,2.079870968
"frozenset({'Eye shadow', 'Concealer', 'Lip liner', 'Bronzer'})",frozenset({'Mascara'}),0.081,0.204,0.05,0.617283951,3.025901719,0.033476,2.079870968
"frozenset({'Blush', 'Foundation'})","frozenset({'Mascara', 'Eyeliner'})",0.184,0.141,0.078,0.423913043,3.006475486,0.052056,1.49109434
"frozenset({'Lip Gloss', 'Mascara', 'Bronzer'})",frozenset({'Concealer'}),0.141,0.184,0.078,0.553191489,3.006475486,0.052056,1.826285714
"frozenset({'Concealer', 'Blush'})","frozenset({'Lipstick', 'Eyeliner'})",0.201,0.083,0.05,0.248756219,2.997062878,0.033317,1.220642384
frozenset({'Blush'}),"frozenset({'Eye shadow', 'Mascara', 'Lip liner'})",0.201,0.083,0.05,0.248756219,2.997062878,0.033317,1.220642384
